Internal ID of the item,The name that will appear in game,value in copper coins,"1:swing/throw
2:Eat/use
3:Stab
4:Hold Up
5:Guns/Staffs",Total time that the animation of the item will take,Total time that the item will take,,,,Color of item in inventory,tileID of tile created when used,Flavortext,max amount the player can carry in a single inventory slot,hitbox width,hitbox height,"Used to place different styles of the same tile. For example, Tables share a TileID, but have different styles",,,,ProjectileID to shoot when used,Velocity of projectile,weapon sprite does no damage,,Damage Type,Damage Type,Damage Type,,,,,,,,,,,which set of ammo types it uses,set of ammo this item belongs to,,,,,,refers to a glowing texture drawn on item,equal to axe power/5,equal to pickaxe power,,,,,,,,used for Angler quests,used for Angler quests,,,,Damage Type,,,,Damage Type,,,,,,,,,,,,,,,,,,,,,,,
278,Silver Bullet,15,-,-,-,TRUE,-,-,-,-,-,999,8,8,-,-,9,3,14,4.5,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
279,Throwing Knife,50,1,15,15,TRUE,-,-,-,-,-,999,18,20,-,1,12,2,48,10,TRUE,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
280,Spear,1000,5,31,31,-,-,-,-,-,-,-,32,32,-,1,8,6.5,49,3.7,TRUE,-,TRUE,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
281,Blowpipe,10000,5,45,45,-,-,TRUE,-,-,Allows the collection of seeds for ammo,-,38,6,-,63,9,3.5,10,11,TRUE,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
282,Glowstick,10,1,15,15,TRUE,-,-,-,-,Works when wet,99,12,12,-,1,-,-,50,6,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{R:255 G:255 B:255 A:0},-,-,-,-,-,-,-,-,-,-,-,-,1
283,Seed,-,-,-,-,TRUE,-,-,-,-,For use with Blowpipe,999,8,8,-,-,3,-,51,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
284,Wooden Boomerang,5000,1,16,16,-,-,-,-,-,-,-,14,28,-,1,8,5,52,6.5,TRUE,-,TRUE,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
285,Aglet,5000,-,-,-,-,-,-,-,-,5% increased movement speed,-,24,8,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
286,Sticky Glowstick,20,1,15,15,TRUE,-,-,-,-,-,99,12,12,-,1,-,-,53,6,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,{R:255 G:255 B:255 A:0},-,-,-,-,-,-,-,-,-,-,-,-,1
287,Poisoned Knife,60,1,15,15,TRUE,-,TRUE,-,-,-,999,18,20,-,1,14,2.4,54,12,TRUE,-,-,-,-,-,-,4,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
288,Obsidian Skin Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Provides immunity to lava,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,14400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
289,Regeneration Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Provides life regeneration,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
290,Swiftness Potion,1000,2,17,17,TRUE,TRUE,-,1,-,25% increased movement speed,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,14400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
291,Gills Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Breathe water instead of air,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,7200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
292,Ironskin Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Increase defense by 8,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
293,Mana Regeneration Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Increased mana regeneration,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,25200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
294,Magic Power Potion,1000,2,17,17,TRUE,TRUE,-,1,-,20% increased magic damage,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,7200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
295,Featherfall Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Slows falling speed,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
296,Spelunker Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Shows the location of treasure and ore,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
297,Invisibility Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Grants invisibility,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,7200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
298,Shine Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Emits an aura of light,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
299,Night Owl Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Increases night vision,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,14400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
300,Battle Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Increases enemy spawn rate,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,25200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
301,Thorns Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Attackers also take damage,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,7200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
302,Water Walking Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Allows the ability to walk on water,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
303,Archery Potion,1000,2,17,17,TRUE,TRUE,-,1,-,20% increased arrow speed and damage,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,14400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
304,Hunter Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Shows the location of enemies,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,18000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
305,Gravitation Potion,1000,2,17,17,TRUE,TRUE,-,1,-,Allows the control of gravity,30,14,24,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,10800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
306,Gold Chest,5000,1,15,10,TRUE,TRUE,TRUE,-,21,-,99,26,22,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
307,Daybloom Seeds,80,1,15,10,TRUE,TRUE,TRUE,-,82,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
308,Moonglow Seeds,80,1,15,10,TRUE,TRUE,TRUE,-,82,-,99,12,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
309,Blinkroot Seeds,80,1,15,10,TRUE,TRUE,TRUE,-,82,-,99,12,14,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
310,Deathweed Seeds,80,1,15,10,TRUE,TRUE,TRUE,-,82,-,99,12,14,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
311,Waterleaf Seeds,80,1,15,10,TRUE,TRUE,TRUE,-,82,-,99,12,14,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
312,Fireblossom Seeds,80,1,15,10,TRUE,TRUE,TRUE,-,82,-,99,12,14,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
313,Daybloom,100,-,-,-,-,-,-,-,-,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
314,Moonglow,100,-,-,-,-,-,-,-,-,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
315,Blinkroot,100,-,-,-,-,-,-,-,-,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
316,Deathweed,100,-,-,-,-,-,-,-,-,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
317,Waterleaf,100,-,-,-,-,-,-,-,-,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
318,Fireblossom,100,-,-,-,-,-,-,-,-,-,99,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
319,Shark Fin,200,-,-,-,-,-,-,-,-,-,99,16,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320,Feather,50,-,-,-,-,-,-,-,-,-,99,16,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
321,Tombstone,-,1,15,10,TRUE,TRUE,-,-,85,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
322,Mime Mask,20000,-,-,-,-,-,-,-,-,-,-,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
323,Antlion Mandible,50,-,-,-,-,-,-,-,-,-,99,10,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
324,Illegal Gun Parts,200000,-,-,-,-,-,-,-,-,'Banned in most places',99,10,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
325,The Doctor's Shirt,200000,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
326,The Doctor's Pants,200000,-,-,-,-,-,-,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TRUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
327,Golden Key,-,-,-,-,-,-,-,-,-,Opens one Gold or Dungeon Chest,99,14,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
328,Shadow Chest,5000,1,15,10,TRUE,TRUE,TRUE,-,21,-,99,26,22,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
329,Shadow Key,75000,-,-,-,-,-,-,-,-,Opens all Shadow Chests,-,14,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
330,Obsidian Brick Wall,-,1,15,7,TRUE,TRUE,TRUE,-,-,-,999,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
331,Jungle Spores,100,-,-,-,-,-,-,-,-,-,99,18,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
332,Loom,300,1,15,10,TRUE,TRUE,TRUE,-,86,Used for crafting cloth,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
333,Piano,300,1,15,10,TRUE,TRUE,TRUE,-,87,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
334,Dresser,300,1,15,10,TRUE,TRUE,TRUE,-,88,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
335,Bench,300,1,15,10,TRUE,TRUE,TRUE,-,89,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
336,Bathtub,300,1,15,10,TRUE,TRUE,TRUE,-,90,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
337,Red Banner,500,1,15,10,TRUE,TRUE,TRUE,-,91,-,99,10,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
338,Green Banner,500,1,15,10,TRUE,TRUE,TRUE,-,91,-,99,10,24,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
339,Blue Banner,500,1,15,10,TRUE,TRUE,TRUE,-,91,-,99,10,24,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
340,Yellow Banner,500,1,15,10,TRUE,TRUE,TRUE,-,91,-,99,10,24,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
341,Lamp Post,500,1,15,10,TRUE,TRUE,TRUE,-,92,-,99,10,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
342,Tiki Torch,500,1,15,10,TRUE,TRUE,TRUE,-,93,-,99,10,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
343,Barrel,500,1,15,10,TRUE,TRUE,TRUE,-,21,-,99,20,20,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
344,Chinese Lantern,500,1,15,10,TRUE,TRUE,TRUE,-,95,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
345,Cooking Pot,500,1,15,10,TRUE,TRUE,TRUE,-,96,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
346,Safe,200000,1,15,10,TRUE,TRUE,TRUE,-,97,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
347,Skull Lantern,500,1,15,10,TRUE,TRUE,TRUE,-,98,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
348,Trash Can,1000,1,15,10,TRUE,TRUE,TRUE,-,21,-,99,20,20,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
349,Candelabra,1500,1,15,10,TRUE,TRUE,TRUE,-,100,-,99,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
